"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"1141","UK1","Inshore","2018","Fall","run2",0.0994736842105263,0.0456,0.2114,27.1399287671233,21.955,31.46,0.991490665789474,0.25890708,2.8949552,24.903837,-80.609678,3.05,1
"1142","UK1","Inshore","2018","Fall","run2",0.0994736842105263,0.0456,0.2114,27.1399287671233,21.955,31.46,0.991490665789474,0.25890708,2.8949552,24.903837,-80.609678,3.05,1
"1144","UK1","Inshore","2018","Fall","run2",0.0994736842105263,0.0456,0.2114,27.1399287671233,21.955,31.46,0.991490665789474,0.25890708,2.8949552,24.903837,-80.609678,3.05,1
"1147","UK1","Inshore","2018","Fall","run2",0.0994736842105263,0.0456,0.2114,27.1399287671233,21.955,31.46,0.991490665789474,0.25890708,2.8949552,24.903837,-80.609678,3.05,1
"31","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"32","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"33","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"35","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"36","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"37","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"38","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"39","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"40","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"761","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"762","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"763","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"764","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"765","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"766","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"767","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"768","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
