"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"1076","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1077","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1078","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"1079","UK2","Inshore","2018","Fall","run2",0.141219607843137,0.0516,0.2176,27.1668767123288,22.493,31.319,1.68003846921569,0.30733818,2.9866683,25.217965,-80.276098,4.27,1
"111","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"112","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"113","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"114","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"115","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"116","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"117","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"118","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"119","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"120","UK2","Offshore","2015","Spring","run1",0.0714425,0.0282,0.1718,27.5042547945205,22.56,31.224,0.59682216445,0.116954416,2.170942,25.201217,-80.226867,6.86,1
"906","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"907","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"908","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"909","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"910","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"912","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"913","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"914","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"915","UK2","Offshore","2017","Fall","run1",0.0798641975308642,0.0352,0.1986,27.2485671232877,23.874,31.251,0.738206805308642,0.09920838,2.6486194,25.201217,-80.226867,6.86,1.33
"1100","UK2","Offshore","2018","Fall","run2",0.0779974025974026,0.0328,0.1844,27.1613260273973,22.805,31.111,0.703962229090909,0.09138442,2.3939729,25.201217,-80.226867,6.86,1
"1101","UK2","Offshore","2018","Fall","run2",0.0779974025974026,0.0328,0.1844,27.1613260273973,22.805,31.111,0.703962229090909,0.09138442,2.3939729,25.201217,-80.226867,6.86,1
"1102","UK2","Offshore","2018","Fall","run2",0.0779974025974026,0.0328,0.1844,27.1613260273973,22.805,31.111,0.703962229090909,0.09138442,2.3939729,25.201217,-80.226867,6.86,1
"1103","UK2","Offshore","2018","Fall","run2",0.0779974025974026,0.0328,0.1844,27.1613260273973,22.805,31.111,0.703962229090909,0.09138442,2.3939729,25.201217,-80.226867,6.86,1
"1106","UK2","Offshore","2018","Fall","run2",0.0779974025974026,0.0328,0.1844,27.1613260273973,22.805,31.111,0.703962229090909,0.09138442,2.3939729,25.201217,-80.226867,6.86,1
"1108","UK2","Offshore","2018","Fall","run2",0.0779974025974026,0.0328,0.1844,27.1613260273973,22.805,31.111,0.703962229090909,0.09138442,2.3939729,25.201217,-80.226867,6.86,1
"1109","UK2","Offshore","2018","Fall","run2",0.0779974025974026,0.0328,0.1844,27.1613260273973,22.805,31.111,0.703962229090909,0.09138442,2.3939729,25.201217,-80.226867,6.86,1
