"","sample_num","full_site","site","zone","site_zone","sample","spp","year","time","season","seq_run","lib_size","is.neg","depth"
"1145","1145","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1145","ssid","2018","Post","Fall","run2",4292,FALSE,4286
"1146","1146","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1146","ssid","2018","Post","Fall","run2",2679,FALSE,2608
"1147","1147","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1147","ssid","2018","Post","Fall","run2",8034,FALSE,7797
"1149","1149","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1149","ssid","2018","Post","Fall","run2",4680,FALSE,4305
"61","61","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_61","ssid","2015","Pre","Spring","run1",46254,FALSE,46086
"62","62","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_62","ssid","2015","Pre","Spring","run1",23378,FALSE,22999
"63","63","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_63","ssid","2015","Pre","Spring","run1",53056,FALSE,52488
"64","64","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_64","ssid","2015","Pre","Spring","run1",31710,FALSE,31374
"65","65","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_65","ssid","2015","Pre","Spring","run1",21814,FALSE,21452
"66","66","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_66","ssid","2015","Pre","Spring","run1",57256,FALSE,56678
"67","67","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_67","ssid","2015","Pre","Spring","run1",25109,FALSE,25047
"68","68","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_68","ssid","2015","Pre","Spring","run1",42722,FALSE,42415
"69","69","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_69","ssid","2015","Pre","Spring","run1",108060,FALSE,106755
"701","701","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_701","ssid","2017","Irma","Fall","run1",30123,FALSE,29349
"702","702","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_702","ssid","2017","Irma","Fall","run1",23417,FALSE,23197
"703","703","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_703","ssid","2017","Irma","Fall","run1",6191,FALSE,6071
"704","704","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_704","ssid","2017","Irma","Fall","run1",58715,FALSE,57878
"705","705","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_705","ssid","2017","Irma","Fall","run1",23770,FALSE,23491
"706","706","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_706","ssid","2017","Irma","Fall","run1",21010,FALSE,20849
"707","707","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_707","ssid","2017","Irma","Fall","run1",37548,FALSE,36886
"708","708","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_708","ssid","2017","Irma","Fall","run1",26974,FALSE,26885
"709","709","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_709","ssid","2017","Irma","Fall","run1",26307,FALSE,26177
"70","70","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_70","ssid","2015","Pre","Spring","run1",67150,FALSE,66702
"710","710","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_710","ssid","2017","Irma","Fall","run1",40026,FALSE,39222
"711","711","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_711","ssid","2017","Irma","Fall","run1",41612,FALSE,40434
"725","725","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_725","ssid","2017","Irma","Fall","run1",31010,FALSE,30297
"726","726","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_726","srad","2017","Irma","Fall","run1",50218,FALSE,49036
"727","727","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_727","srad","2017","Irma","Fall","run1",33900,FALSE,33575
"729","729","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_729","srad","2017","Irma","Fall","run1",31500,FALSE,31030
"731","731","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_731","srad","2017","Irma","Fall","run1",14432,FALSE,13687
"732","732","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_732","srad","2017","Irma","Fall","run1",34494,FALSE,33772
"733","733","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_733","srad","2017","Irma","Fall","run1",47660,FALSE,47048
"735","735","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_735","srad","2017","Irma","Fall","run1",86224,FALSE,83507
"81","81","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_81","srad","2015","Pre","Spring","run1",47065,FALSE,43050
"82","82","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_82","srad","2015","Pre","Spring","run1",56736,FALSE,55802
"83","83","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_83","srad","2015","Pre","Spring","run1",38724,FALSE,37877
"84","84","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_84","srad","2015","Pre","Spring","run1",20908,FALSE,20233
"85","85","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_85","srad","2015","Pre","Spring","run1",17953,FALSE,17864
"86","86","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_86","srad","2015","Pre","Spring","run1",40477,FALSE,40176
"87","87","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_87","srad","2015","Pre","Spring","run1",25102,FALSE,24754
"88","88","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_88","srad","2015","Pre","Spring","run1",116632,FALSE,115482
"89","89","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_89","srad","2015","Pre","Spring","run1",12968,FALSE,12679
"90","90","Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_90","srad","2015","Pre","Spring","run1",16164,FALSE,16039
"1170","1170","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1170","ssid","2018","Post","Fall","run2",23423,FALSE,22230
"1171","1171","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1171","ssid","2018","Post","Fall","run2",3760,FALSE,3485
"1172","1172","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1172","ssid","2018","Post","Fall","run2",28474,FALSE,28091
"1173","1173","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1173","ssid","2018","Post","Fall","run2",29454,FALSE,29240
"1174","1174","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1174","ssid","2018","Post","Fall","run2",28806,FALSE,26431
"1175","1175","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1175","ssid","2018","Post","Fall","run2",28238,FALSE,27511
"1176","1176","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1176","ssid","2018","Post","Fall","run2",5975,FALSE,5937
"1177","1177","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1177","ssid","2018","Post","Fall","run2",7248,FALSE,7009
"1178","1178","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1178","ssid","2018","Post","Fall","run2",11224,FALSE,10989
"1179","1179","Rocky Top","UK1","Offshore","UK1-O","UK1-O_1179","ssid","2018","Post","Fall","run2",15910,FALSE,15597
"31","31","Rocky Top","UK1","Offshore","UK1-O","UK1-O_31","ssid","2015","Pre","Spring","run1",58435,FALSE,58086
"32","32","Rocky Top","UK1","Offshore","UK1-O","UK1-O_32","ssid","2015","Pre","Spring","run1",26430,FALSE,26252
"33","33","Rocky Top","UK1","Offshore","UK1-O","UK1-O_33","ssid","2015","Pre","Spring","run1",34772,FALSE,32036
"35","35","Rocky Top","UK1","Offshore","UK1-O","UK1-O_35","ssid","2015","Pre","Spring","run1",9590,FALSE,9583
"36","36","Rocky Top","UK1","Offshore","UK1-O","UK1-O_36","ssid","2015","Pre","Spring","run1",17428,FALSE,17342
"37","37","Rocky Top","UK1","Offshore","UK1-O","UK1-O_37","ssid","2015","Pre","Spring","run1",96914,FALSE,95833
"38","38","Rocky Top","UK1","Offshore","UK1-O","UK1-O_38","ssid","2015","Pre","Spring","run1",96585,FALSE,96070
"39","39","Rocky Top","UK1","Offshore","UK1-O","UK1-O_39","ssid","2015","Pre","Spring","run1",51237,FALSE,50426
"40","40","Rocky Top","UK1","Offshore","UK1-O","UK1-O_40","ssid","2015","Pre","Spring","run1",60700,FALSE,59929
"51","51","Rocky Top","UK1","Offshore","UK1-O","UK1-O_51","srad","2015","Pre","Spring","run1",167874,FALSE,165018
"52","52","Rocky Top","UK1","Offshore","UK1-O","UK1-O_52","srad","2015","Pre","Spring","run1",62302,FALSE,61703
"53","53","Rocky Top","UK1","Offshore","UK1-O","UK1-O_53","srad","2015","Pre","Spring","run1",70484,FALSE,69382
"54","54","Rocky Top","UK1","Offshore","UK1-O","UK1-O_54","srad","2015","Pre","Spring","run1",181630,FALSE,179179
"55","55","Rocky Top","UK1","Offshore","UK1-O","UK1-O_55","srad","2015","Pre","Spring","run1",40297,FALSE,39743
"56","56","Rocky Top","UK1","Offshore","UK1-O","UK1-O_56","srad","2015","Pre","Spring","run1",54968,FALSE,54513
"57","57","Rocky Top","UK1","Offshore","UK1-O","UK1-O_57","srad","2015","Pre","Spring","run1",48652,FALSE,48312
"58","58","Rocky Top","UK1","Offshore","UK1-O","UK1-O_58","srad","2015","Pre","Spring","run1",61825,FALSE,61022
"59","59","Rocky Top","UK1","Offshore","UK1-O","UK1-O_59","srad","2015","Pre","Spring","run1",22626,FALSE,22437
"60","60","Rocky Top","UK1","Offshore","UK1-O","UK1-O_60","srad","2015","Pre","Spring","run1",55139,FALSE,53904
"761","761","Rocky Top","UK1","Offshore","UK1-O","UK1-O_761","ssid","2017","Irma","Fall","run1",20680,FALSE,19950
"762","762","Rocky Top","UK1","Offshore","UK1-O","UK1-O_762","ssid","2017","Irma","Fall","run1",36846,FALSE,36828
"763","763","Rocky Top","UK1","Offshore","UK1-O","UK1-O_763","ssid","2017","Irma","Fall","run1",39365,FALSE,38997
"764","764","Rocky Top","UK1","Offshore","UK1-O","UK1-O_764","ssid","2017","Irma","Fall","run1",42288,FALSE,42266
"765","765","Rocky Top","UK1","Offshore","UK1-O","UK1-O_765","ssid","2017","Irma","Fall","run1",44118,FALSE,43804
"766","766","Rocky Top","UK1","Offshore","UK1-O","UK1-O_766","ssid","2017","Irma","Fall","run1",40342,FALSE,39892
"767","767","Rocky Top","UK1","Offshore","UK1-O","UK1-O_767","ssid","2017","Irma","Fall","run1",92002,FALSE,91446
"768","768","Rocky Top","UK1","Offshore","UK1-O","UK1-O_768","ssid","2017","Irma","Fall","run1",23848,FALSE,23481
"769","769","Rocky Top","UK1","Offshore","UK1-O","UK1-O_769","ssid","2017","Irma","Fall","run1",80919,FALSE,80020
"770","770","Rocky Top","UK1","Offshore","UK1-O","UK1-O_770","ssid","2017","Irma","Fall","run1",50572,FALSE,50249
"771","771","Rocky Top","UK1","Offshore","UK1-O","UK1-O_771","ssid","2017","Irma","Fall","run1",72108,FALSE,70745
"772","772","Rocky Top","UK1","Offshore","UK1-O","UK1-O_772","ssid","2017","Irma","Fall","run1",40075,FALSE,39519
"1070","1070","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1070","srad","2018","Post","Fall","run2",16300,FALSE,15577
"1071","1071","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1071","srad","2018","Post","Fall","run2",4445,FALSE,4003
"1072","1072","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1072","srad","2018","Post","Fall","run2",19878,FALSE,19775
"1073","1073","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1073","srad","2018","Post","Fall","run2",28429,FALSE,27858
"1074","1074","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1074","srad","2018","Post","Fall","run2",16251,FALSE,15664
"1075","1075","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1075","srad","2018","Post","Fall","run2",6516,FALSE,6391
"1076","1076","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1076","srad","2018","Post","Fall","run2",14304,FALSE,13647
"1077","1077","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1077","srad","2018","Post","Fall","run2",21125,FALSE,20938
"1078","1078","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1078","srad","2018","Post","Fall","run2",28531,FALSE,28453
"1079","1079","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1079","srad","2018","Post","Fall","run2",21250,FALSE,20721
"1080","1080","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1080","ssid","2018","Post","Fall","run2",7944,FALSE,7822
"1081","1081","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1081","ssid","2018","Post","Fall","run2",27384,FALSE,27058
"1082","1082","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1082","ssid","2018","Post","Fall","run2",28133,FALSE,27753
"1083","1083","Basin Hill","UK2","Inshore","UK2-I","UK2-I_1083","ssid","2018","Post","Fall","run2",14149,FALSE,14004
