,input,filtered,denoised,merged,tabled,nonchim
990,54222,50710,49280,46140,46123,45981
991,132555,119470,117335,111544,110933,110832
992,73817,70261,68819,66129,65907,65858
993,29995,26772,26526,26148,26027,26027
994,173171,152085,149585,142716,142210,141740
995,66292,63396,62792,61219,61020,60385
996,38745,34557,32872,30045,30020,30020
10,58275,53523,51907,47966,47613,47532
1221,17617,16768,15559,12886,12880,12147
1222,10034,9046,8917,8822,8451,8451
1223,45495,43171,43009,42735,39782,39782
1225,32125,30117,29865,29533,28718,28718
1226,24857,23672,23545,23334,21689,21689
1227,18140,17271,17051,16587,16542,16486
1228,10161,9443,9308,9087,8590,8504
1230,59198,56440,56215,55365,52134,51914
1231,29432,27551,27488,27228,26941,26932
1232,47967,45626,45539,45332,44425,44410
1233,41089,39215,36894,30774,29647,29612
1234,32097,29146,27740,24707,24696,24402
1235,11824,11108,10893,10487,10432,10432
1236,16511,15536,14201,12250,12206,12206
1237,11061,10367,9957,9406,9372,9372
1238,11087,9616,9507,9240,9136,9136
1,78159,73147,72537,70675,70660,70601
21,76462,70992,68275,60739,60627,60442
22,109210,98439,94482,83250,82943,82861
23,114385,109534,106251,97749,96868,96760
24,45626,43102,41956,39854,39258,39216
25,159486,144248,143008,137916,137248,137112
26,73073,70181,67694,62321,60317,60186
27,52002,45389,43619,40062,40031,40010
28,216394,181931,179035,170592,170129,170029
29,70612,65268,62883,56750,56493,56481
2,83190,74293,74153,73838,73782,73782
30,113227,106289,104040,99381,99356,99161
3,56146,50738,50446,49700,49050,49050
4,63917,57559,55936,52686,52663,52588
5,231905,208239,204331,193082,191982,191456
6,64960,57645,57391,56530,56312,56249
7,121989,108905,107412,102862,102726,102543
8,119070,83409,83320,82006,80316,80035
916,43042,26165,26119,25654,24803,24765
917,44060,39208,38907,38128,37983,37983
918,59349,54969,53867,51714,51633,51565
919,144230,126210,125967,124913,124376,123508
921,32740,24662,24494,24350,22687,22687
922,36481,31998,31891,31657,31530,31530
923,91467,80873,80743,80163,79480,79109
924,69836,67441,66259,63929,63779,63687
925,31478,26378,26356,26185,26178,26157
926,32220,30325,29063,25732,25486,25431
927,114200,107457,104515,97668,96905,96715
928,60989,55680,54112,50240,50226,50198
929,54466,50371,50135,49023,48978,47547
930,31230,28616,27764,25588,25462,25462
931,101326,88787,88203,86964,86283,86261
932,53595,43098,42922,42683,41570,41570
933,89948,84600,82735,78566,71678,71623
934,108660,100152,99248,97395,97316,97313
935,27789,26778,26478,26043,26010,26010
943,56211,42784,42735,41398,41398,41325
neg1,49147,42872,42824,42549,21977,21856
neg2,52037,40744,40190,38494,17321,17063
neg3,38935,34994,34805,33986,14131,12511
1140,58643,55497,54727,52574,52292,52243
1141,26279,25156,24566,23030,23030,22488
1142,47813,45953,45780,44867,44837,44650
1143,10214,8829,8614,8431,7486,7486
1144,19557,18039,17747,17067,16792,16792
1145,8375,7797,7567,7312,7274,7274
1146,4652,3949,3767,3490,3432,3432
1147,10477,9690,9602,9516,9476,9476
1149,7649,6348,6285,6190,5105,5105
61,56606,50546,50497,50355,50020,49991
62,31128,24092,24070,23954,23892,23892
63,72776,57022,56891,56218,55527,55461
64,38881,32804,32733,32570,32505,32505
65,32775,22753,22719,22626,22553,22553
66,89896,60932,60873,60217,60117,60027
67,34599,27242,27116,26813,26653,26653
68,55356,46791,46623,46242,45775,45738
69,145082,112917,112753,112008,110768,110568
701,59940,36257,35231,34591,33421,33381
702,33666,27745,27570,27214,27050,26990
703,9905,9190,9110,9002,8985,8985
704,85671,73272,73182,71927,71890,71889
705,26852,24081,24068,23899,23899,23899
706,26579,23448,23391,23191,23093,23093
707,48793,42234,42085,41643,41433,41433
708,45212,37605,37488,37264,36350,36350
